# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mRp.clN.saf" "-s" "0" "-o" "consensus_peaks.mRp.clN.featureCounts.txt" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam
Interval_93	II	490469	491139	+	671	19	9	9	20
Interval_94	II	504469	504859	+	391	13	7	7	12
Interval_95	II	554730	556178	+	1449	51	50	44	49
Interval_96	II	564841	565520	+	680	16	13	13	16
Interval_97	II	589174	589464	+	291	9	7	7	7
Interval_98	II	592764	593134	+	371	12	11	10	12
Interval_99	II	595182	595954	+	773	19	9	6	18
Interval_100	II	602227	602514	+	288	8	8	6	8
Interval_101	II	604156	604412	+	257	15	7	6	13
Interval_102	II	605760	606222	+	463	21	13	10	20
Interval_103	II	614111	615410	+	1300	34	28	28	32
Interval_104	II	624829	625658	+	830	28	27	24	26
Interval_105	II	628488	628853	+	366	12	11	12	12
Interval_106	II	642659	643032	+	374	15	8	8	13
Interval_107	II	644812	645541	+	730	19	7	8	14
Interval_108	II	662377	662810	+	434	11	10	11	10
Interval_109	II	668108	668984	+	877	18	13	13	18
Interval_110	II	679942	681183	+	1242	25	28	27	24
Interval_111	II	681908	682114	+	207	7	7	6	9
Interval_112	II	697443	698030	+	588	21	20	18	18
Interval_113	II	702183	702508	+	326	11	10	8	8
Interval_114	II	706898	707298	+	401	8	6	5	6
Interval_115	II	718190	718847	+	658	14	1	0	11
Interval_116	II	738979	739783	+	805	7	11	10	7
Interval_117	II	742642	742842	+	201	4	4	2	4
Interval_118	II	760900	761240	+	341	15	9	10	12
Interval_119	II	770605	771172	+	568	9	13	13	8
Interval_120	II	798702	799266	+	565	17	13	12	18
Interval_121	III	219	1057	+	839	52	53	50	37
Interval_122	III	17014	17262	+	249	7	4	4	7
Interval_123	III	24093	24836	+	744	12	12	10	11
Interval_124	III	30476	31304	+	829	13	10	10	12
Interval_125	III	48323	48538	+	216	8	4	3	5
Interval_126	III	50336	51613	+	1278	27	33	33	25
Interval_127	III	58639	59489	+	851	14	8	8	11
Interval_128	III	61427	61767	+	341	8	3	2	7
Interval_129	III	63512	63725	+	214	5	2	2	4
Interval_130	III	68448	68821	+	374	24	20	20	20
Interval_131	III	78079	79016	+	938	37	25	23	36
Interval_132	III	82391	82607	+	217	7	9	6	7
Interval_133	III	103768	104593	+	826	13	13	13	11
Interval_134	III	107148	107349	+	202	6	5	3	5
Interval_135	III	114308	114863	+	556	7	2	2	6
Interval_136	III	122609	124026	+	1418	63	56	53	56
Interval_137	III	125049	125447	+	399	11	13	12	8
Interval_138	III	127428	127927	+	500	12	16	15	11
Interval_139	III	137083	138866	+	1784	63	52	51	57
Interval_140	III	142579	142779	+	201	7	2	2	6
Interval_141	III	147653	147853	+	201	3	3	2	4
Interval_142	III	157517	157794	+	278	3	8	6	2
Interval_143	III	163265	164271	+	1007	33	28	26	33
Interval_144	III	168236	168440	+	205	13	1	1	12
Interval_145	III	169750	170189	+	440	6	9	8	6
Interval_146	III	176656	176938	+	283	5	3	3	4
Interval_147	III	177695	179352	+	1658	37	29	29	33
Interval_148	III	211595	212181	+	587	7	6	7	8
Interval_149	III	216258	216505	+	248	5	3	1	5
Interval_150	III	223280	223789	+	510	14	3	3	13
Interval_151	III	224927	225469	+	543	10	13	11	9
Interval_152	III	227861	228918	+	1058	42	24	22	44
Interval_153	III	236465	237114	+	650	17	17	15	18
Interval_154	III	238528	238817	+	290	10	3	2	10
Interval_155	III	240505	240705	+	201	2	8	6	2
Interval_156	III	246649	246964	+	316	12	8	7	10
Interval_157	III	279853	280077	+	225	8	4	3	8
Interval_158	III	289265	289536	+	272	8	2	2	6
Interval_159	III	295383	295775	+	393	9	13	13	8
Interval_160	III	298923	299342	+	420	8	6	6	8
Interval_161	III	315770	316569	+	800	49	53	39	30
Interval_162	IV	0	812	+	813	26	27	18	12
Interval_163	IV	19925	20477	+	553	19	10	10	18
Interval_164	IV	22475	22675	+	201	6	3	4	5
Interval_165	IV	42381	42604	+	224	12	6	5	9
Interval_166	IV	49321	49654	+	334	6	3	3	3
Interval_167	IV	56684	56973	+	290	10	6	5	9
Interval_168	IV	60824	61270	+	447	7	6	4	6
Interval_169	IV	62196	62472	+	277	8	5	4	7
Interval_170	IV	73429	74229	+	801	5	4	3	5
Interval_171	IV	76901	77191	+	291	11	5	5	9
Interval_172	IV	83470	83827	+	358	5	6	6	3
Interval_173	IV	87156	87469	+	314	7	5	4	7
Interval_174	IV	98321	98734	+	414	7	4	2	5
Interval_175	IV	104667	104926	+	260	8	4	4	7
Interval_176	IV	106590	107040	+	451	7	3	4	5
Interval_177	IV	116022	116264	+	243	8	4	3	9
Interval_178	IV	117146	117619	+	474	11	8	7	10
Interval_179	IV	125176	125688	+	513	10	4	3	7
Interval_180	IV	130531	130853	+	323	13	15	12	14
Interval_181	IV	132788	133303	+	516	22	13	10	16
Interval_182	IV	147697	148092	+	396	9	5	5	9
Interval_183	IV	156010	156313	+	304	9	5	4	9
Interval_184	IV	198601	199907	+	1307	14	6	6	12
Interval_185	IV	211110	211365	+	256	14	5	4	8
Interval_186	IV	212804	213037	+	234	8	6	6	7
Interval_187	IV	215650	216137	+	488	22	19	17	18
Interval_188	IV	217178	217567	+	390	13	13	11	11
Interval_189	IV	221855	222287	+	433	11	15	13	10
Interval_190	IV	226999	227436	+	438	15	7	6	13
Interval_191	IV	228945	229660	+	716	15	7	7	13
Interval_192	IV	230759	230983	+	225	10	4	2	8
Interval_193	IV	234128	234676	+	549	17	11	10	14
Interval_194	IV	239681	240095	+	415	13	12	9	13
Interval_195	IV	264099	264312	+	214	5	4	4	4
Interval_196	IV	286794	287149	+	356	5	8	6	5
Interval_197	IV	301112	301520	+	409	8	2	2	6
Interval_198	IV	302839	303054	+	216	5	6	4	4
Interval_199	IV	307846	308432	+	587	35	33	32	28
Interval_200	IV	321521	322247	+	727	31	21	21	26
Interval_201	IV	330399	331057	+	659	20	18	16	16
Interval_202	IV	340333	341590	+	1258	13	17	16	13
Interval_203	IV	357061	357880	+	820	27	31	34	26
Interval_204	IV	363594	363869	+	276	11	7	7	10
Interval_205	IV	366178	366429	+	252	7	8	5	7
Interval_206	IV	368695	369459	+	765	35	24	23	31
Interval_207	IV	385911	387079	+	1169	20	27	26	21
Interval_208	IV	392506	392825	+	320	8	5	4	5
Interval_209	IV	410308	411702	+	1395	73	50	48	64
Interval_210	IV	417004	417363	+	360	7	8	6	7
Interval_211	IV	428767	428967	+	201	5	1	2	5
Interval_212	IV	431619	432225	+	607	7	4	4	6
Interval_213	IV	434074	434376	+	303	9	3	3	9
Interval_214	IV	437736	438214	+	479	13	3	2	12
Interval_215	IV	442713	442913	+	201	3	4	4	3
Interval_216	IV	453925	454125	+	201	5	3	2	4
Interval_217	IV	461346	461775	+	430	5	10	10	3
Interval_218	IV	464992	465551	+	560	30	20	19	26
Interval_219	IV	485230	485596	+	367	13	3	3	12
Interval_220	IV	488499	489332	+	834	14	14	10	12
Interval_221	IV	491152	491427	+	276	12	4	4	12
Interval_222	IV	501228	501836	+	609	8	8	7	7
Interval_223	IV	507138	507675	+	538	10	15	15	10
Interval_224	IV	512190	512483	+	294	7	4	4	7
Interval_225	IV	520900	521545	+	646	8	9	8	6
Interval_226	IV	524744	525320	+	577	15	8	9	14
Interval_227	IV	538855	539698	+	844	34	19	17	33
Interval_228	IV	541790	542166	+	377	14	4	4	15
Interval_229	IV	545956	546312	+	357	16	6	4	14
Interval_230	IV	550761	551478	+	718	41	25	25	36
Interval_231	IV	556583	557034	+	452	17	21	19	16
Interval_232	IV	562659	563125	+	467	8	10	8	7
Interval_233	IV	568732	569249	+	518	9	11	8	6
Interval_234	IV	573812	574073	+	262	7	4	5	6
Interval_235	IV	591611	592353	+	743	39	36	34	31
Interval_236	IV	599805	601388	+	1584	49	46	44	49
Interval_237	IV	613647	614141	+	495	5	3	1	3
Interval_238	IV	636071	636491	+	421	6	10	9	7
Interval_239	IV	645027	645325	+	299	7	5	5	6
Interval_240	IV	652392	652674	+	283	7	3	1	8
Interval_241	IV	657906	658158	+	253	3	2	1	3
Interval_242	IV	681983	682285	+	303	6	5	5	5
Interval_243	IV	690622	690961	+	340	8	3	3	6
Interval_244	IV	693716	694085	+	370	5	6	5	5
Interval_245	IV	699549	699921	+	373	11	8	8	10
Interval_246	IV	703663	704305	+	643	9	5	5	7
Interval_247	IV	721597	722894	+	1298	33	19	17	30
Interval_248	IV	746367	746585	+	219	5	1	1	5
Interval_249	IV	751086	751414	+	329	5	2	1	6
Interval_250	IV	769119	769817	+	699	26	22	18	24
Interval_251	IV	794246	794545	+	300	7	4	4	7
Interval_252	IV	802777	803045	+	269	3	4	1	1
Interval_253	IV	806134	806403	+	270	3	5	4	2
Interval_254	IV	808084	808284	+	201	8	2	1	6
Interval_255	IV	811758	812151	+	394	22	12	10	20
Interval_256	IV	835669	836518	+	850	35	20	21	30
Interval_257	IV	866826	868025	+	1200	17	15	14	17
Interval_258	IV	884356	884717	+	362	10	10	10	9
Interval_259	IV	893956	894316	+	361	10	9	8	8
Interval_260	IV	909243	909792	+	550	19	5	8	19
Interval_261	IV	914485	915857	+	1373	28	15	15	28
Interval_262	IV	926849	927193	+	345	14	8	6	14
Interval_263	IV	930440	930922	+	483	20	21	20	17
Interval_264	IV	946243	946549	+	307	9	6	3	8
Interval_265	IV	955221	955473	+	253	7	2	2	6
Interval_266	IV	959956	960304	+	349	9	7	6	9
Interval_267	IV	976210	977321	+	1112	27	30	27	27
Interval_268	IV	992746	993136	+	391	14	9	9	13
Interval_269	IV	998392	998669	+	278	4	7	6	4
Interval_270	IV	1005279	1005479	+	201	2	4	5	2
Interval_271	IV	1011288	1012119	+	832	32	28	26	29
Interval_272	IV	1013757	1014127	+	371	24	8	7	23
Interval_273	IV	1022332	1022661	+	330	10	3	3	9
Interval_274	IV	1030229	1030574	+	346	9	3	3	7
Interval_275	IV	1031762	1032192	+	431	8	6	4	6
Interval_276	IV	1050332	1050811	+	480	3	5	4	2
Interval_277	IV	1054961	1056406	+	1446	28	17	15	27
Interval_278	IV	1059105	1059356	+	252	1	4	3	1
Interval_279	IV	1075172	1075554	+	383	12	2	1	11
Interval_280	IV	1080338	1081031	+	694	19	19	17	17
Interval_281	IV	1090128	1090328	+	201	5	4	4	4
Interval_282	IV	1135462	1135719	+	258	8	5	5	6
Interval_283	IV	1150605	1150925	+	321	7	9	5	7
Interval_284	IV	1156281	1156481	+	201	6	1	2	6
Interval_285	IV	1164873	1165713	+	841	41	30	28	37
Interval_286	IV	1172127	1172477	+	351	9	6	5	9
Interval_287	IV	1174339	1175949	+	1611	21	14	14	17
Interval_288	IV	1183093	1183728	+	636	10	6	4	10
Interval_289	IV	1189729	1189943	+	215	4	4	2	4
Interval_290	IV	1194996	1195386	+	391	14	5	3	13
Interval_291	IV	1201666	1202088	+	423	13	6	6	10
Interval_292	IV	1226600	1226800	+	201	5	3	2	5
Interval_293	IV	1233741	1233941	+	201	7	3	2	6
Interval_294	IV	1242199	1243004	+	806	44	30	33	43
Interval_295	IV	1251409	1252062	+	654	19	10	11	17
Interval_296	IV	1261264	1261584	+	321	7	4	4	7
Interval_297	IV	1266559	1267382	+	824	16	14	12	14
Interval_298	IV	1269529	1270422	+	894	13	8	9	12
Interval_299	IV	1278409	1280053	+	1645	32	19	19	31
Interval_300	IV	1288989	1289294	+	306	7	3	3	4
Interval_301	IV	1300784	1301620	+	837	32	20	16	30
Interval_302	IV	1305555	1305784	+	230	5	5	3	3
Interval_303	IV	1319111	1319421	+	311	4	4	4	4
Interval_304	IV	1345313	1345603	+	291	12	6	5	11
Interval_305	IV	1355563	1355999	+	437	27	16	14	24
Interval_306	IV	1359556	1359934	+	379	25	19	19	23
Interval_307	IV	1362406	1362649	+	244	13	11	10	7
Interval_308	IV	1384748	1386092	+	1345	23	14	14	22
Interval_309	IV	1401276	1401828	+	553	24	21	21	23
Interval_310	IV	1409993	1412016	+	2024	30	16	18	29
Interval_311	IV	1419857	1420905	+	1049	15	11	9	14
Interval_312	IV	1429058	1429618	+	561	34	18	14	32
Interval_313	IV	1434394	1434713	+	320	12	3	3	10
Interval_314	IV	1445662	1446102	+	441	11	4	3	10
Interval_315	IV	1450818	1451211	+	394	13	9	8	14
Interval_316	IV	1454543	1455040	+	498	10	11	9	10
Interval_317	IV	1459507	1460083	+	577	14	7	7	13
Interval_318	IV	1461531	1462082	+	552	15	8	7	14
Interval_319	IV	1468576	1469439	+	864	55	38	39	50
Interval_320	IV	1476778	1477295	+	518	10	4	4	9
Interval_321	IV	1489638	1490998	+	1361	70	72	65	64
Interval_322	IV	1493122	1493418	+	297	10	15	16	10
Interval_323	IV	1496687	1496946	+	260	13	3	4	10
Interval_324	IV	1502242	1502704	+	463	8	12	12	6
Interval_325	IV	1506870	1507641	+	772	20	12	11	16
Interval_326	IV	1517891	1518227	+	337	3	6	6	2
Interval_327	IV	1524706	1525614	+	909	77	63	55	60
Interval_328	IX	5	211	+	207	7	15	7	3
Interval_329	IX	21693	22218	+	526	13	10	10	10
Interval_330	IX	28239	28677	+	439	4	6	5	2
Interval_331	IX	36577	37177	+	601	19	2	1	18
Interval_332	IX	53435	54318	+	884	15	2	2	14
Interval_333	IX	68245	68762	+	518	41	17	15	40
Interval_334	IX	77420	77880	+	461	3	5	4	1
Interval_335	IX	84875	85058	+	184	4	3	2	4
Interval_336	IX	96412	96781	+	370	13	6	5	10
Interval_337	IX	99440	99914	+	475	34	30	29	30
Interval_338	IX	102317	102602	+	286	15	5	5	12
Interval_339	IX	106065	106321	+	257	1	4	2	0
Interval_340	IX	117744	118007	+	264	6	9	6	5
Interval_341	IX	127780	128030	+	251	9	5	5	5
Interval_342	IX	131838	132137	+	300	10	8	8	8
Interval_343	IX	138294	139507	+	1214	50	48	45	47
Interval_344	IX	141911	142769	+	859	14	11	10	12
Interval_345	IX	160003	160503	+	501	10	2	2	8
Interval_346	IX	165973	166305	+	333	8	20	19	7
Interval_347	IX	169797	170031	+	235	4	5	4	3
Interval_348	IX	174931	175161	+	231	15	8	6	11
Interval_349	IX	177499	177944	+	446	14	17	15	12
Interval_350	IX	183284	183486	+	203	3	2	1	2
Interval_351	IX	197511	197830	+	320	14	7	7	11
Interval_352	IX	199555	199854	+	300	5	4	2	5
Interval_353	IX	210582	210881	+	300	10	8	7	9
Interval_354	IX	215938	216602	+	665	7	10	10	7
Interval_355	IX	222557	222870	+	314	13	6	5	11
Interval_356	IX	232362	232934	+	573	28	36	34	25
Interval_357	IX	241741	241984	+	244	8	0	1	7
Interval_358	IX	248689	249714	+	1026	75	49	44	68
Interval_359	IX	254169	254804	+	636	60	52	46	54
Interval_360	IX	257190	257630	+	441	29	23	22	24
Interval_361	IX	258352	258739	+	388	21	11	10	21
Interval_362	IX	267842	268955	+	1114	31	22	22	31
Interval_363	IX	273775	274089	+	315	5	5	4	4
Interval_364	IX	291848	292338	+	491	6	3	2	6
Interval_365	IX	299930	300240	+	311	7	6	5	7
Interval_366	IX	310792	311159	+	368	10	5	4	9
Interval_367	IX	316313	316688	+	376	22	17	15	20
Interval_368	IX	321862	322157	+	296	9	8	7	8
Interval_369	IX	325579	326042	+	464	14	5	4	13
Interval_370	IX	332656	333546	+	891	36	35	29	31
Interval_371	IX	336113	336489	+	377	17	9	6	14
Interval_372	IX	338254	339208	+	955	17	29	28	15
Interval_373	IX	360205	360745	+	541	13	6	5	11
Interval_374	IX	370112	370441	+	330	7	0	0	6
Interval_375	IX	378217	378501	+	285	8	4	3	8
Interval_376	IX	381788	382542	+	755	21	22	21	18
Interval_377	IX	383840	384532	+	693	22	24	23	21
Interval_378	IX	386483	386965	+	483	28	18	17	27
Interval_379	IX	388421	389180	+	760	12	21	20	12
Interval_380	IX	394823	395184	+	362	3	9	7	3
Interval_381	IX	415013	416130	+	1118	24	9	8	24
Interval_382	IX	421616	422398	+	783	10	6	6	10
Interval_383	IX	427297	427686	+	390	5	14	12	3
Interval_384	IX	439140	439888	+	749	78	83	74	60
Interval_385	V	6117	6831	+	715	39	21	19	30
Interval_386	V	9647	9954	+	308	10	8	5	8
Interval_387	V	13068	13489	+	422	8	4	3	6
Interval_388	V	15737	16406	+	670	8	11	8	8
Interval_389	V	18888	19210	+	323	8	3	3	7
Interval_390	V	26563	27550	+	988	14	11	11	12
Interval_391	V	33773	34045	+	273	10	3	3	7
Interval_392	V	42041	42775	+	735	19	22	20	18
Interval_393	V	51702	51964	+	263	5	7	7	5
Interval_394	V	53264	53977	+	714	36	40	35	32
Interval_395	V	60919	61915	+	997	9	11	10	8
Interval_396	V	68632	70314	+	1683	81	85	70	77
Interval_397	V	77472	77860	+	389	10	9	7	8
Interval_398	V	84813	85656	+	844	76	56	49	62
Interval_399	V	99357	100502	+	1146	21	15	13	20
Interval_400	V	106809	107272	+	464	14	4	4	13
Interval_401	V	117459	118179	+	721	38	33	28	35
Interval_402	V	123072	123644	+	573	36	24	23	30
Interval_403	V	130886	131625	+	740	12	9	7	8
Interval_404	V	140507	141585	+	1079	75	85	74	73
Interval_405	V	152605	153379	+	775	19	24	22	18
Interval_406	V	159352	159552	+	201	3	4	3	2
Interval_407	V	174697	175041	+	345	17	8	7	16
Interval_408	V	177114	177694	+	581	6	11	10	7
Interval_409	V	191866	192441	+	576	32	23	22	31
Interval_410	V	194563	195019	+	457	12	8	7	12
Interval_411	V	211718	212375	+	658	14	12	12	15
Interval_412	V	221530	222610	+	1081	39	24	24	37
Interval_413	V	225308	225657	+	350	14	8	7	11
Interval_414	V	237196	237396	+	201	4	5	4	3
Interval_415	V	241962	242970	+	1009	31	27	26	29
Interval_416	V	248218	248418	+	201	3	4	3	3
Interval_417	V	250218	250488	+	271	3	4	3	2
Interval_418	V	254148	254600	+	453	6	5	4	6
Interval_419	V	259990	260355	+	366	10	3	4	9
Interval_420	V	261401	261754	+	354	7	3	5	6
Interval_421	V	266117	266466	+	350	13	10	10	10
Interval_422	V	268375	269062	+	688	27	24	22	27
Interval_423	V	270188	270567	+	380	15	21	21	14
Interval_424	V	280907	281494	+	588	36	17	18	33
Interval_425	V	284446	285082	+	637	45	28	28	44
Interval_426	V	287385	287644	+	260	5	5	4	5
Interval_427	V	292772	293000	+	229	9	5	5	8
Interval_428	V	295046	295734	+	689	14	8	8	12
Interval_429	V	298362	298602	+	241	6	6	6	4
Interval_430	V	303280	303866	+	587	16	32	30	16
Interval_431	V	305907	306143	+	237	17	5	5	16
Interval_432	V	311417	312109	+	693	25	18	17	27
Interval_433	V	321890	322224	+	335	7	6	4	6
Interval_434	V	322987	323875	+	889	12	3	3	12
Interval_435	V	335301	336061	+	761	34	31	28	28
Interval_436	V	342453	343487	+	1035	27	26	24	27
Interval_437	V	349238	349935	+	698	16	14	13	14
Interval_438	V	354697	355528	+	832	26	30	23	22
Interval_439	V	362271	362642	+	372	14	20	17	14
Interval_440	V	377825	378073	+	249	6	5	5	6
Interval_441	V	386748	387126	+	379	3	10	9	3
Interval_442	V	396302	396734	+	433	32	32	27	27
Interval_443	V	400774	401169	+	396	13	6	6	12
Interval_444	V	409147	409653	+	507	9	11	11	11
Interval_445	V	414112	414346	+	235	6	3	2	6
Interval_446	V	422059	423519	+	1461	28	34	32	29
Interval_447	V	430888	431399	+	512	18	15	14	13
Interval_448	V	434389	434602	+	214	15	6	6	12
Interval_449	V	435500	435960	+	461	28	14	10	25
Interval_450	V	438997	439469	+	473	27	13	11	24
Interval_451	V	441873	442658	+	786	74	52	49	65
Interval_452	V	461748	463206	+	1459	41	34	29	41
Interval_453	V	467585	468141	+	557	16	12	10	13
Interval_454	V	469066	469439	+	374	4	4	2	4
Interval_455	V	473743	475225	+	1483	29	14	14	28
Interval_456	V	482905	483900	+	996	22	11	10	21
Interval_457	V	490848	491562	+	715	38	39	33	37
Interval_458	V	492291	492491	+	201	9	3	2	9
Interval_459	V	498865	499146	+	282	4	5	4	3
Interval_460	V	503011	503900	+	890	11	4	4	11
Interval_461	V	509707	510020	+	314	3	5	1	3
Interval_462	V	517497	517767	+	271	6	6	5	5
Interval_463	V	522835	523235	+	401	9	7	6	11
Interval_464	V	544624	545507	+	884	21	16	18	20
Interval_465	V	546612	547377	+	766	10	6	7	8
Interval_466	V	551072	551431	+	360	10	1	1	10
Interval_467	V	558939	559349	+	411	8	11	8	8
Interval_468	V	569806	570650	+	845	75	65	44	58
Interval_469	VI	4481	5298	+	818	73	80	66	60
Interval_470	VI	16487	16966	+	480	6	9	6	5
Interval_471	VI	27880	28170	+	291	9	1	1	9
Interval_472	VI	31067	31327	+	261	5	8	7	4
Interval_473	VI	31978	32194	+	217	6	2	3	6
Interval_474	VI	54522	55287	+	766	18	19	16	15
Interval_475	VI	56059	56312	+	254	10	9	6	9
Interval_476	VI	65044	65236	+	193	3	4	4	4
Interval_477	VI	74719	75061	+	343	15	6	6	12
Interval_478	VI	76539	77490	+	952	17	7	6	16
Interval_479	VI	82018	82509	+	492	19	14	12	18
Interval_480	VI	90272	90991	+	720	33	21	18	28
Interval_481	VI	95212	96018	+	807	52	33	28	49
Interval_482	VI	101127	101513	+	387	17	2	2	15
Interval_483	VI	106252	106765	+	514	28	21	19	25
Interval_484	VI	109938	110138	+	201	7	2	2	8
Interval_485	VI	129822	130023	+	202	3	3	2	3
Interval_486	VI	149836	150036	+	201	5	4	3	4
Interval_487	VI	157759	158078	+	320	10	6	5	9
Interval_488	VI	162159	162574	+	416	5	9	9	5
