# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mLb.clN.saf" "-s" "0" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam
Interval_20	I	119671	119871	+	201	1	1	10	1	2	9
Interval_21	I	132138	132327	+	190	4	1	3	4	1	7
Interval_22	I	138483	139806	+	1324	17	12	35	18	12	40
Interval_23	I	141452	142142	+	691	28	19	36	33	24	36
Interval_24	I	143476	143677	+	202	4	3	2	6	5	6
Interval_25	I	154417	154631	+	215	0	0	7	0	0	8
Interval_26	I	165808	166608	+	801	10	13	13	12	19	15
Interval_27	I	168988	169188	+	201	7	3	7	7	5	10
Interval_28	I	180362	181442	+	1081	29	15	28	32	17	34
Interval_29	I	182275	182665	+	391	10	5	14	12	6	17
Interval_30	I	189908	191458	+	1551	36	47	78	36	52	88
Interval_31	I	198126	198758	+	633	6	9	15	6	12	16
Interval_32	I	210905	211171	+	267	7	4	14	11	7	21
Interval_33	I	229417	230218	+	802	41	45	34	44	52	30
Interval_34	II	59	353	+	295	2	8	6	4	10	7
Interval_35	II	5655	6374	+	720	37	26	33	53	31	38
Interval_36	II	8274	8509	+	236	3	0	10	2	0	12
Interval_37	II	23832	24041	+	210	5	1	11	5	4	12
Interval_38	II	28403	29192	+	790	14	6	27	14	8	27
Interval_39	II	36132	36815	+	684	23	16	28	29	16	35
Interval_40	II	45080	45602	+	523	30	22	33	35	24	39
Interval_41	II	46811	47462	+	652	12	13	22	14	15	22
Interval_42	II	60840	61164	+	325	15	13	27	16	13	29
Interval_43	II	69401	69597	+	197	4	0	2	6	0	2
Interval_44	II	74783	75081	+	299	3	1	15	3	1	17
Interval_45	II	80783	80999	+	217	3	3	8	3	3	12
Interval_46	II	87724	88128	+	405	5	4	15	5	6	15
Interval_47	II	89292	89939	+	648	27	25	28	29	27	34
Interval_48	II	101218	102010	+	793	9	9	34	11	9	34
Interval_49	II	107529	107778	+	250	5	1	3	6	1	4
Interval_50	II	113420	113716	+	297	2	0	12	2	2	15
Interval_51	II	116486	117669	+	1184	19	14	41	21	16	48
Interval_52	II	124808	125084	+	277	10	2	7	10	2	10
Interval_53	II	126209	126413	+	205	1	0	9	1	0	9
Interval_54	II	135711	136392	+	682	33	31	72	38	33	74
Interval_55	II	140406	141263	+	858	34	26	68	35	27	73
Interval_56	II	159603	160135	+	533	18	10	42	20	11	53
Interval_57	II	164106	165594	+	1489	68	47	112	69	50	123
Interval_58	II	167951	168351	+	401	30	22	61	34	24	64
Interval_59	II	181475	182394	+	920	10	5	19	10	5	19
Interval_60	II	186467	186806	+	340	3	1	18	3	2	22
Interval_61	II	191728	192287	+	560	10	6	17	9	7	20
Interval_62	II	193419	194227	+	809	21	17	51	19	18	63
Interval_63	II	197276	197559	+	284	8	2	4	8	1	4
Interval_64	II	201750	203582	+	1833	37	34	89	41	36	95
Interval_65	II	216332	217422	+	1091	11	8	35	12	8	36
Interval_66	II	221347	221558	+	212	2	6	5	4	8	8
Interval_67	II	227105	227513	+	409	8	3	18	9	8	25
Interval_68	II	234943	236587	+	1645	20	19	21	22	19	22
Interval_69	II	242368	242713	+	346	1	2	9	2	1	11
Interval_70	II	247743	247979	+	237	1	0	6	1	0	8
Interval_71	II	251031	251628	+	598	12	13	25	14	14	30
Interval_72	II	255769	256429	+	661	27	12	21	27	13	23
Interval_73	II	258066	258271	+	206	1	4	11	2	6	12
Interval_74	II	266280	267639	+	1360	5	2	39	6	2	40
Interval_75	II	269691	270253	+	563	2	4	32	3	5	39
Interval_76	II	275663	275878	+	216	3	1	9	4	1	11
Interval_77	II	278414	278696	+	283	4	6	18	6	6	22
Interval_78	II	280966	281318	+	353	5	1	15	5	1	20
Interval_79	II	288176	288539	+	364	1	5	13	2	5	13
Interval_80	II	292033	292545	+	513	5	2	11	6	3	15
Interval_81	II	297704	297911	+	208	2	3	7	2	2	9
Interval_82	II	297966	298143	+	178	4	0	4	5	1	2
Interval_83	II	301479	301824	+	346	3	4	14	4	4	16
Interval_84	II	307064	308222	+	1159	8	1	25	7	1	28
Interval_85	II	310407	310607	+	201	5	4	9	4	5	14
Interval_86	II	324159	324562	+	404	5	2	10	3	3	13
Interval_87	II	326627	326940	+	314	7	4	9	8	7	14
Interval_88	II	332443	332819	+	377	13	10	24	14	9	25
Interval_89	II	336781	337332	+	552	17	4	31	19	7	33
Interval_90	II	340638	340826	+	189	0	1	8	0	2	10
Interval_91	II	341467	342431	+	965	27	14	46	27	15	49
Interval_92	II	347392	347776	+	385	2	5	16	4	6	16
Interval_93	II	350782	351167	+	386	5	5	18	6	5	29
Interval_94	II	356079	356907	+	829	7	9	24	7	11	27
Interval_95	II	370815	371587	+	773	15	12	54	15	11	63
Interval_96	II	373668	374416	+	749	5	14	17	7	16	20
Interval_97	II	375797	376340	+	544	19	12	75	20	11	77
Interval_98	II	378619	379231	+	613	23	14	50	29	17	57
Interval_99	II	381415	381678	+	264	0	0	17	2	0	21
Interval_100	II	391551	392853	+	1303	29	23	76	29	27	76
Interval_101	II	400870	401257	+	388	4	2	14	4	3	16
Interval_102	II	405948	406279	+	332	5	5	15	9	8	25
Interval_103	II	407367	408997	+	1631	32	22	84	33	22	89
Interval_104	II	415278	415846	+	569	19	18	48	20	20	55
Interval_105	II	418243	418453	+	211	7	3	16	6	4	21
Interval_106	II	419318	420010	+	693	7	4	68	8	5	70
Interval_107	II	426572	427433	+	862	24	12	52	27	13	63
Interval_108	II	429236	429562	+	327	8	2	10	9	2	11
Interval_109	II	435563	435849	+	287	0	4	8	0	5	11
Interval_110	II	444725	444998	+	274	6	5	11	8	5	14
Interval_111	II	452165	452690	+	526	11	10	30	11	13	34
Interval_112	II	454227	454928	+	702	9	3	9	9	3	10
Interval_113	II	458474	458742	+	269	3	5	12	4	5	12
Interval_114	II	461808	462087	+	280	4	2	15	4	2	20
Interval_115	II	466037	467193	+	1157	34	19	96	35	19	104
Interval_116	II	474104	474478	+	375	7	7	15	8	8	16
Interval_117	II	476339	477593	+	1255	29	23	74	30	25	83
Interval_118	II	481011	481302	+	292	4	0	13	4	0	13
Interval_119	II	483526	483832	+	307	5	4	6	5	8	6
Interval_120	II	490079	491118	+	1040	22	9	94	20	9	97
Interval_121	II	501158	501800	+	643	1	0	23	1	0	25
Interval_122	II	504422	504869	+	448	12	7	27	14	7	30
Interval_123	II	515425	515625	+	201	3	1	11	4	1	13
Interval_124	II	532231	532431	+	201	1	2	11	1	2	12
Interval_125	II	539817	540085	+	269	2	5	13	1	6	16
Interval_126	II	544560	544882	+	323	3	1	18	4	3	20
Interval_127	II	554737	556178	+	1442	49	44	88	51	50	92
Interval_128	II	560925	561692	+	768	9	7	32	9	8	34
Interval_129	II	564841	565652	+	812	18	14	38	18	15	41
Interval_130	II	577458	578220	+	763	4	1	17	5	1	18
Interval_131	II	581467	582551	+	1085	8	3	20	8	1	26
Interval_132	II	586243	586490	+	248	2	3	12	2	3	14
Interval_133	II	589073	589616	+	544	9	8	24	9	8	26
Interval_134	II	592751	593137	+	387	12	10	37	12	11	39
Interval_135	II	595565	596004	+	440	16	6	55	17	7	62
Interval_136	II	602093	602514	+	422	8	7	24	8	9	29
Interval_137	II	604156	604493	+	338	14	6	20	16	7	24
Interval_138	II	605815	606218	+	404	19	10	44	20	13	48
Interval_139	II	614051	615767	+	1717	37	28	86	38	28	100
Interval_140	II	624791	625658	+	868	26	24	51	28	27	59
Interval_141	II	628471	628879	+	409	12	12	46	12	11	50
Interval_142	II	633479	633857	+	379	1	1	10	0	1	12
Interval_143	II	642514	643303	+	790	14	8	35	16	8	36
Interval_144	II	644812	645469	+	658	14	8	9	19	7	15
Interval_145	II	650120	651737	+	1618	9	5	46	10	6	47
Interval_146	II	661942	663160	+	1219	13	11	43	16	11	48
Interval_147	II	668101	668984	+	884	18	13	26	18	13	26
Interval_148	II	680021	681135	+	1115	21	25	56	24	27	58
Interval_149	II	681783	682291	+	509	9	6	27	10	7	32
Interval_150	II	697149	698008	+	860	20	20	37	22	22	39
Interval_151	II	702131	702834	+	704	11	10	33	12	10	37
Interval_152	II	706898	707298	+	401	6	5	9	8	6	11
Interval_153	II	718126	718908	+	783	12	0	18	14	1	23
Interval_154	II	722730	723084	+	355	1	2	8	1	2	8
Interval_155	II	726822	727155	+	334	1	4	6	1	4	7
Interval_156	II	728208	728786	+	579	4	2	18	2	2	20
Interval_157	II	734655	734859	+	205	1	1	5	1	1	11
Interval_158	II	735943	736158	+	216	3	0	8	3	0	10
Interval_159	II	741105	741350	+	246	2	3	8	3	4	11
Interval_160	II	760791	761247	+	457	13	10	10	15	9	13
Interval_161	II	770579	771168	+	590	8	12	38	9	13	42
Interval_162	II	776253	776671	+	419	4	2	10	4	3	14
Interval_163	II	792123	792299	+	177	4	0	6	6	0	6
Interval_164	II	798740	799285	+	546	18	11	19	17	13	21
Interval_165	II	804817	805237	+	421	2	2	13	2	2	15
Interval_166	III	225	1046	+	822	36	50	46	52	53	60
Interval_167	III	17004	17256	+	253	7	4	13	7	4	17
Interval_168	III	24115	24720	+	606	11	8	21	12	11	21
Interval_169	III	27448	27745	+	298	1	0	9	1	1	10
Interval_170	III	30500	31372	+	873	13	10	12	14	10	12
Interval_171	III	40599	41150	+	552	2	3	13	2	3	15
Interval_172	III	48308	48524	+	217	5	3	11	8	3	12
Interval_173	III	50330	51246	+	917	22	26	60	23	25	67
Interval_174	III	51929	52672	+	744	4	3	28	4	4	34
Interval_175	III	58639	59491	+	853	11	8	15	14	8	19
Interval_176	III	63512	63687	+	176	4	2	0	4	2	1
Interval_177	III	68408	68815	+	408	21	20	15	25	20	17
Interval_178	III	77645	79035	+	1391	38	26	100	38	28	99
Interval_179	III	82391	82600	+	210	7	6	2	7	9	2
Interval_180	III	103264	104537	+	1274	15	16	32	17	16	31
Interval_181	III	105698	105878	+	181	3	2	6	7	1	5
Interval_182	III	107158	107373	+	216	6	3	7	7	5	8
Interval_183	III	114426	114779	+	354	1	1	9	2	2	10
Interval_184	III	122532	124004	+	1473	56	53	95	64	55	106
Interval_185	III	127648	127930	+	283	8	7	15	7	12	16
Interval_186	III	131707	132004	+	298	1	2	8	1	2	12
Interval_187	III	133338	133742	+	405	6	5	25	7	5	28
Interval_188	III	137106	137803	+	698	36	32	68	43	34	79
Interval_189	III	138387	138697	+	311	8	8	5	11	8	7
Interval_190	III	142645	142878	+	234	8	1	5	8	2	4
Interval_191	III	157517	158744	+	1228	8	10	30	8	11	32
Interval_192	III	163262	164418	+	1157	34	29	51	35	30	57
Interval_193	III	168220	168441	+	222	12	1	6	13	1	8
Interval_194	III	169750	170045	+	296	6	6	3	6	7	4
Interval_195	III	176584	177264	+	681	4	11	20	5	12	23
Interval_196	III	177635	179347	+	1713	34	28	39	38	28	41
Interval_197	III	210287	210526	+	240	3	1	14	3	3	14
Interval_198	III	211334	211857	+	524	5	6	29	5	6	30
Interval_199	III	214185	214485	+	301	1	2	8	1	3	8
Interval_200	III	216127	216722	+	596	7	2	20	8	3	22
Interval_201	III	223322	223812	+	491	13	3	14	14	3	15
Interval_202	III	224935	225552	+	618	9	11	24	11	13	26
Interval_203	III	227835	229041	+	1207	47	23	57	44	25	63
Interval_204	III	236277	237113	+	837	18	17	30	17	19	35
Interval_205	III	238345	238929	+	585	11	4	23	13	6	24
Interval_206	III	240507	240832	+	326	2	8	11	2	8	12
Interval_207	III	246655	247052	+	398	11	7	19	12	8	24
Interval_208	III	262692	263052	+	361	5	2	16	6	2	18
Interval_209	III	266366	267043	+	678	4	2	16	3	2	16
Interval_210	III	279842	280069	+	228	8	3	9	8	4	9
Interval_211	III	295416	295966	+	551	8	12	18	9	14	19
Interval_212	III	298931	299394	+	464	8	6	14	8	6	15
Interval_213	III	310255	311044	+	790	4	2	13	4	3	16
Interval_214	III	315713	316569	+	857	30	39	37	49	53	49
Interval_215	IV	0	812	+	813	12	18	16	26	27	24
Interval_216	IV	19941	20466	+	526	18	10	18	19	10	19
Interval_217	IV	22526	22751	+	226	5	3	7	5	2	7
Interval_218	IV	42383	43399	+	1017	13	6	17	18	7	19
Interval_219	IV	45195	46063	+	869	6	9	2	7	11	2
Interval_220	IV	47765	48097	+	333	3	2	13	4	2	14
Interval_221	IV	48998	49395	+	398	4	3	9	5	4	12
Interval_222	IV	49415	49728	+	314	5	2	5	5	2	5
Interval_223	IV	56712	56965	+	254	9	4	6	10	6	7
Interval_224	IV	60998	61183	+	186	3	3	6	4	5	5
Interval_225	IV	61624	62761	+	1138	11	6	101	11	6	115
Interval_226	IV	70258	70452	+	195	0	1	8	0	1	11
Interval_227	IV	74210	74549	+	340	4	2	19	4	3	19
Interval_228	IV	76753	77438	+	686	10	7	56	11	7	59
Interval_229	IV	83523	83901	+	379	4	6	16	5	6	19
Interval_230	IV	87254	87454	+	201	7	4	9	6	5	10
Interval_231	IV	89735	90217	+	483	3	0	12	4	0	15
Interval_232	IV	94224	94521	+	298	0	1	13	0	1	16
Interval_233	IV	97987	98593	+	607	7	2	16	9	4	20
Interval_234	IV	104549	104869	+	321	8	4	12	9	4	14
Interval_235	IV	106543	107223	+	681	8	5	27	10	5	30
Interval_236	IV	115984	116254	+	271	9	3	7	8	4	6
Interval_237	IV	117286	117695	+	410	9	6	31	11	8	35
Interval_238	IV	130263	130901	+	639	16	17	33	15	15	37
Interval_239	IV	132445	133356	+	912	19	12	56	24	14	57
Interval_240	IV	134802	135039	+	238	1	5	15	2	6	19
Interval_241	IV	145436	145627	+	192	1	1	6	1	1	8
Interval_242	IV	147639	148119	+	481	9	5	30	9	6	34
Interval_243	IV	155970	156351	+	382	9	4	22	10	5	27
Interval_244	IV	158821	159564	+	744	3	2	20	3	2	24
Interval_245	IV	167410	167628	+	219	2	1	8	3	1	8
Interval_246	IV	176357	176557	+	201	1	0	9	1	0	12
Interval_247	IV	199614	199915	+	302	5	1	15	6	1	14
Interval_248	IV	211114	211382	+	269	8	4	18	14	5	16
Interval_249	IV	212793	213510	+	718	8	7	24	10	7	31
Interval_250	IV	215636	216136	+	501	18	17	18	22	19	21
Interval_251	IV	217178	217571	+	394	11	11	36	13	13	39
Interval_252	IV	221398	222624	+	1227	14	18	35	15	18	36
Interval_253	IV	226941	227361	+	421	11	6	25	12	7	29
Interval_254	IV	228961	229622	+	662	13	7	15	15	7	21
Interval_255	IV	230688	230995	+	308	11	3	20	12	4	22
Interval_256	IV	234157	234816	+	660	18	12	47	22	12	46
Interval_257	IV	239605	240197	+	593	15	10	50	16	12	57
Interval_258	IV	241413	242232	+	820	9	2	27	9	3	32
Interval_259	IV	245466	245985	+	520	4	5	17	5	5	21
Interval_260	IV	258454	258866	+	413	2	1	17	4	1	21
Interval_261	IV	263896	265348	+	1453	12	10	34	12	10	37
Interval_262	IV	272002	272254	+	253	1	0	9	1	0	12
Interval_263	IV	286759	286997	+	239	4	4	12	4	6	14
Interval_264	IV	296226	296611	+	386	2	2	15	2	3	15
Interval_265	IV	301133	303247	+	2115	21	9	52	22	9	53
Interval_266	IV	304854	305054	+	201	4	1	13	4	1	15
Interval_267	IV	307834	308518	+	685	29	32	52	35	33	57
Interval_268	IV	312557	312877	+	321	4	0	17	4	1	17
Interval_269	IV	314742	315168	+	427	1	0	16	2	0	16
Interval_270	IV	321561	322212	+	652	26	21	54	31	21	58
Interval_271	IV	330234	331052	+	819	18	16	48	22	18	54
Interval_272	IV	334336	334750	+	415	3	2	14	3	3	15
Interval_273	IV	341106	341587	+	482	11	11	19	10	12	23
Interval_274	IV	356944	358207	+	1264	31	36	57	31	34	58
Interval_275	IV	363510	363806	+	297	10	6	17	10	7	22
Interval_276	IV	366141	366537	+	397	10	8	26	9	10	29
Interval_277	IV	368606	369623	+	1018	34	27	63	36	28	68
Interval_278	IV	385822	387105	+	1284	22	26	35	21	27	38
Interval_279	IV	392378	392847	+	470	7	4	21	8	5	22
Interval_280	IV	393660	394064	+	405	3	0	8	2	2	11
Interval_281	IV	407492	407697	+	206	4	2	15	6	2	20
Interval_282	IV	410350	412633	+	2284	70	50	250	77	52	272
Interval_283	IV	416932	417363	+	432	7	6	25	7	8	24
Interval_284	IV	421702	421953	+	252	0	4	12	1	4	15
Interval_285	IV	428772	428980	+	209	5	2	9	5	1	12
Interval_286	IV	431477	432289	+	813	8	5	22	8	7	23
Interval_287	IV	434148	434402	+	255	8	3	8	9	3	11
Interval_288	IV	437736	438214	+	479	12	2	5	13	3	5
Interval_289	IV	442235	443073	+	839	7	5	19	7	5	19
Interval_290	IV	461264	461775	+	512	4	10	28	5	10	31
Interval_291	IV	462509	462745	+	237	5	2	9	5	2	12
Interval_292	IV	464992	465813	+	822	26	20	66	30	20	69
Interval_293	IV	478715	479023	+	309	2	1	17	2	1	20
Interval_294	IV	483738	484008	+	271	3	1	11	3	1	13
Interval_295	IV	485230	485893	+	664	12	3	15	13	3	16
Interval_296	IV	488499	489419	+	921	12	14	22	14	15	25
Interval_297	IV	491026	491495	+	470	14	4	41	14	5	46
Interval_298	IV	501091	501733	+	643	6	8	12	7	9	13
Interval_299	IV	504800	505110	+	311	2	3	16	2	3	19
Interval_300	IV	506183	506442	+	260	3	2	13	4	3	14
Interval_301	IV	507138	508227	+	1090	12	19	26	12	20	28
Interval_302	IV	512190	512766	+	577	7	4	26	7	4	29
Interval_303	IV	521088	521337	+	250	2	5	3	3	4	6
Interval_304	IV	521434	521732	+	299	4	1	13	4	3	16
Interval_305	IV	524744	525287	+	544	14	9	20	15	8	24
Interval_306	IV	538817	539685	+	869	33	18	115	34	19	122
Interval_307	IV	541792	542332	+	541	18	4	27	18	4	29
Interval_308	IV	543680	543917	+	238	6	4	25	6	5	29
Interval_309	IV	545954	546393	+	440	16	5	35	17	6	38
Interval_310	IV	550691	551613	+	923	36	25	103	41	26	110
Interval_311	IV	556530	557112	+	583	18	20	48	17	22	47
Interval_312	IV	562637	563133	+	497	7	8	20	8	11	19
Interval_313	IV	568768	569069	+	302	6	5	8	9	7	15
Interval_314	IV	569975	570516	+	542	4	4	15	4	4	16
Interval_315	IV	573816	574016	+	201	5	5	9	5	4	9
Interval_316	IV	575839	576083	+	245	1	6	10	1	8	13
Interval_317	IV	579109	579345	+	237	1	3	12	1	4	14
Interval_318	IV	591615	592353	+	739	31	34	76	39	36	87
Interval_319	IV	593226	593828	+	603	7	3	72	7	3	78
Interval_320	IV	599740	601726	+	1987	50	48	141	50	50	152
Interval_321	IV	616172	616780	+	609	6	3	26	6	3	28
Interval_322	IV	619880	620118	+	239	3	3	12	3	3	14
Interval_323	IV	621661	621957	+	297	3	3	13	4	5	14
Interval_324	IV	626143	626343	+	201	4	3	11	4	4	11
Interval_325	IV	628646	628958	+	313	2	2	10	2	2	12
Interval_326	IV	635639	636833	+	1195	10	10	98	9	11	106
Interval_327	IV	643805	644043	+	239	0	1	9	0	1	9
Interval_328	IV	644782	645304	+	523	6	7	11	8	7	20
Interval_329	IV	652228	652674	+	447	8	2	17	7	3	20
Interval_330	IV	654762	654962	+	201	5	2	11	5	3	11
Interval_331	IV	657702	658206	+	505	4	2	11	4	2	12
Interval_332	IV	675571	675943	+	373	3	1	11	3	1	15
Interval_333	IV	680126	680547	+	422	5	2	24	5	2	27
Interval_334	IV	690342	690969	+	628	9	3	17	11	4	17
Interval_335	IV	693565	693973	+	409	4	6	3	5	6	4
Interval_336	IV	699533	699921	+	389	10	8	15	11	8	16
Interval_337	IV	703663	704264	+	602	7	5	9	9	5	9
Interval_338	IV	721600	722946	+	1347	32	17	91	34	19	99
Interval_339	IV	750848	751429	+	582	8	2	19	6	3	20
Interval_340	IV	755208	755536	+	329	5	2	17	5	2	19
Interval_341	IV	765287	765563	+	277	10	1	16	12	1	19
Interval_342	IV	768204	769866	+	1663	39	24	87	39	29	89
Interval_343	IV	794113	794545	+	433	7	4	24	7	4	25
Interval_344	IV	806077	806740	+	664	4	6	42	3	7	42
Interval_345	IV	807934	808552	+	619	9	4	21	9	4	22
Interval_346	IV	811563	812123	+	561	24	11	31	26	12	35
Interval_347	IV	814091	814310	+	220	6	1	4	6	1	4
Interval_348	IV	816746	817060	+	315	2	2	1	3	2	1
Interval_349	IV	817757	817979	+	223	1	1	9	1	1	11
Interval_350	IV	835684	836535	+	852	31	21	52	35	20	58
Interval_351	IV	848004	848294	+	291	3	1	13	3	1	12
Interval_352	IV	866662	868053	+	1392	18	14	67	18	15	72
Interval_353	IV	870762	871002	+	241	2	3	14	2	2	14
Interval_354	IV	884424	884712	+	289	8	10	8	9	10	9
Interval_355	IV	889089	889451	+	363	6	1	24	6	1	25
Interval_356	IV	892454	892654	+	201	7	1	9	8	2	12
Interval_357	IV	893604	894464	+	861	13	9	64	14	9	67
Interval_358	IV	904988	905184	+	197	0	0	8	0	0	8
Interval_359	IV	907063	907593	+	531	6	3	17	6	3	20
Interval_360	IV	909177	910144	+	968	19	12	35	20	13	36
Interval_361	IV	914524	915829	+	1306	27	12	31	28	14	33
Interval_362	IV	916160	916375	+	216	4	3	9	4	3	12
Interval_363	IV	923939	925044	+	1106	11	4	24	12	3	26
Interval_364	IV	926820	927257	+	438	14	6	31	14	8	31
Interval_365	IV	930388	930910	+	523	17	20	46	20	21	49
Interval_366	IV	935986	936204	+	219	0	1	8	0	1	9
Interval_367	IV	946324	946549	+	226	8	2	8	9	4	11
Interval_368	IV	954157	955643	+	1487	15	3	80	14	3	83
Interval_369	IV	959974	960406	+	433	9	6	20	9	7	22
Interval_370	IV	964902	965114	+	213	1	2	8	1	2	10
Interval_371	IV	974248	974448	+	201	2	4	9	2	6	11
Interval_372	IV	976220	977399	+	1180	29	26	71	29	29	73
Interval_373	IV	992762	993283	+	522	15	9	21	14	9	22
Interval_374	IV	998469	998738	+	270	4	6	16	3	7	19
Interval_375	IV	1003640	1003929	+	290	2	0	6	4	0	7
Interval_376	IV	1005248	1005654	+	407	4	6	21	4	5	24
Interval_377	IV	1011292	1012157	+	866	29	26	56	32	28	57
Interval_378	IV	1013757	1014104	+	348	21	7	39	22	7	38
Interval_379	IV	1016035	1016436	+	402	8	6	37	7	6	37
Interval_380	IV	1022332	1022635	+	304	9	3	14	10	3	15
Interval_381	IV	1030229	1030574	+	346	7	3	8	9	3	9
Interval_382	IV	1031594	1032270	+	677	8	5	28	9	6	30
Interval_383	IV	1050171	1050587	+	417	1	2	18	2	5	21
Interval_384	IV	1054876	1055127	+	252	6	4	12	6	6	13
Interval_385	IV	1055756	1056394	+	639	20	9	29	20	10	32
Interval_386	IV	1059105	1059406	+	302	1	4	4	1	5	5
Interval_387	IV	1062914	1063294	+	381	4	2	12	4	2	16
Interval_388	IV	1067155	1067348	+	194	0	0	4	0	0	6
Interval_389	IV	1071757	1072628	+	872	4	0	17	6	0	19
Interval_390	IV	1075172	1075554	+	383	11	1	10	12	2	12
Interval_391	IV	1080324	1081041	+	718	17	17	44	19	19	43
Interval_392	IV	1084818	1085018	+	201	1	0	10	2	0	13
Interval_393	IV	1086893	1087520	+	628	5	2	23	6	2	27
Interval_394	IV	1090128	1090335	+	208	4	4	9	5	4	12
Interval_395	IV	1095282	1095482	+	201	3	0	11	3	1	12
Interval_396	IV	1108153	1108575	+	423	0	2	6	0	4	10
Interval_397	IV	1125906	1126310	+	405	3	1	11	3	1	14
Interval_398	IV	1127661	1127861	+	201	2	0	9	2	0	11
Interval_399	IV	1129330	1129603	+	274	2	0	12	2	0	13
Interval_400	IV	1135383	1135719	+	337	7	5	10	8	5	10
Interval_401	IV	1140554	1140763	+	210	2	5	13	2	5	13
Interval_402	IV	1150612	1150925	+	314	7	5	12	6	9	13
Interval_403	IV	1156239	1156672	+	434	6	3	27	7	2	27
Interval_404	IV	1161647	1162185	+	539	11	5	41	11	5	44
Interval_405	IV	1164729	1165713	+	985	39	29	64	43	30	70
Interval_406	IV	1172143	1172507	+	365	9	5	8	9	6	12
Interval_407	IV	1174263	1175105	+	843	7	12	17	10	12	19
Interval_408	IV	1175732	1176008	+	277	10	2	12	11	2	14
Interval_409	IV	1178064	1178302	+	239	1	1	6	1	1	7
Interval_410	IV	1181405	1181605	+	201	4	3	11	4	3	11
Interval_411	IV	1182811	1183679	+	869	10	5	24	11	6	28
Interval_412	IV	1189231	1189950	+	720	4	5	26	4	6	27
Interval_413	IV	1194937	1195420	+	484	13	3	33	14	5	38
Interval_414	IV	1201666	1202217	+	552	13	6	12	15	6	12
Interval_415	IV	1213275	1213736	+	462	1	2	9	1	2	10
